gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints
0022500664,1610612764,Washington,Wizards,WAS,wizards,240:00,40,98,0.408,17,39,0.436,18,21,0.857,14,32,46,27,16,12,13,17,115,4.0
0022500664,1610612757,Portland,Trail Blazers,POR,blazers,240:00,42,109,0.385,14,38,0.368,13,23,0.565,29,40,69,19,10,5,20,17,111,-4.0
